1414,"36.5806","136.648722","駐車場・駐輪場","駐車場","","","","","金沢駅西口時計駐車場","収容台数：1500台","920-0031","金沢市広岡1-401","076-263-5151"
1415,"36.580117","136.648014","駐車場・駐輪場","駐車場","","","","","金沢駅西暫定駐車場","収容台数：288台","920-0031","金沢市広岡2-602","076-265-5310"
1416,"36.57949","136.647391","駐車場・駐輪場","駐車場","","","","","金沢駅西広場一般車駐車場","収容台数：68台","920-0031","金沢市広岡1-6-1","076-223-7055"
1417,"36.576206","136.648134","駐車場・駐輪場","駐車場","","","","","金沢駅東駐車場","収容台数：352台","920-0856","金沢市昭和町16-2","076-224-0171"
1418,"36.57634","136.649433","駐車場・駐輪場","駐車場","","","","","ポルテ金沢駐車場","収容台数：450台","920-0853","金沢市本町2-15-1","076-234-2222"
1419,"36.575865","136.651441","駐車場・駐輪場","駐車場","","","","","リファーレ駐車場","収容台数：266台","920-0853","金沢市本町1-5-1","076-262-6588"
1420,"36.574211","136.654129","駐車場・駐輪場","駐車場","","","","","武蔵地下駐車場","収容台数：194台","920-0853","金沢市本町1-170","076-223-3601"
1421,"36.57672","136.647841","駐車場・駐輪場","駐車場","","","","","石川県立音楽堂","収容台数：152台","920-0856","金沢市昭和町20-1","076-232-8111"
1422,"36.579348","136.649811","駐車場・駐輪場","駐車場","","","","","金沢フォーラス駐車場","収容台数：420台","920-0849","金沢市堀川新町3-1","076-265-8111"
1423,"36.572802","136.654387","駐車場・駐輪場","駐車場","","","","","名鉄スカイパーキング","収容台数：660台","920-0855","金沢市武蔵町466","076-260-2093"
1424,"36.570437","136.656682","駐車場・駐輪場","駐車場","","","","","近江町パーキングビル","収容台数：250台","920-0906","金沢市十間町21","076-263-7918"
1425,"36.572674","136.654991","駐車場・駐輪場","駐車場","","","","","めいてつエムザ駐車場","収容台数：70台","920-0855","金沢市武蔵町15-1","076-260-2205"
1426,"36.571631","136.657648","駐車場・駐輪場","駐車場","","","","","近江町市場","収容台数：300台","920-0905","金沢市上近江町50","076-232-2241"
1427,"36.571844","136.656398","駐車場・駐輪場","駐車場","","","","","近江町いちば館","収容台数：94台","920-0907","金沢市青草町88","076-231-3323"
1428,"36.564888","136.664091","駐車場・駐輪場","駐車場","","","","","石川県兼六駐車場","収容台数：482台","920-0932","金沢市小将町1-60","076-263-1814"
1429,"36.561714","136.665588","駐車場・駐輪場","駐車場","","","","","兼六坂パーキング","収容台数：100台","920-0933","金沢市東兼六町2-37","076-222-1600"
1430,"36.557697","136.665008","駐車場・駐輪場","駐車場","","","","","石川県石引駐車場","収容台数：370台","920-0935","金沢市石引4-454","076-223-2285"
1433,"36.560954","136.657267","駐車場・駐輪場","駐車場","","","","","金沢市役所・美術館駐車場","収容台数：319台","920-0962","金沢市広坂1-1-1","076-220-2830"
