1414,36.5806,136.648722,駐車場・駐輪場,金沢駅西口時計駐車場,収容台数：1500台,920-0031,金沢市広岡1-401,076-263-5151,24時間,,"入庫時より30分毎100円
(大型バス)入庫時より1時間毎1,080円
夜間：17:00〜翌10:00　4,320円",大型バス2台対応,http://www.tokeiparking.com/
1415,36.580117,136.648014,駐車場・駐輪場,金沢駅西暫定駐車場,収容台数：288台,920-0031,金沢市広岡2-602,076-265-5310,24時間,,最初60分300円、以降30分100円,,
1416,36.57949,136.647391,駐車場・駐輪場,金沢駅西広場一般車駐車場,収容台数：68台,920-0031,金沢市広岡1-6-1,076-223-7055,24時間,,最初60分300円、以降30分100円,,
1417,36.576206,136.648134,駐車場・駐輪場,金沢駅東駐車場,収容台数：352台,920-0856,金沢市昭和町16-2,076-224-0171,午前7時〜午後11時迄,,"最初60分300円、以降30分100円
午後11時〜午前7時：1,000円",宿泊時間帯は入出庫不可,
1418,36.57634,136.649433,駐車場・駐輪場,ポルテ金沢駐車場,収容台数：450台,920-0853,金沢市本町2-15-1,076-234-2222,24時間,,最初60分400円、以降30分200円,,http://www.porte.co.jp/
1419,36.575865,136.651441,駐車場・駐輪場,リファーレ駐車場,収容台数：266台,920-0853,金沢市本町1-5-1,076-262-6588,午前7時〜午後10時迄,,30分100円,,
1420,36.574211,136.654129,駐車場・駐輪場,武蔵地下駐車場,収容台数：194台,920-0853,金沢市本町1-170,076-223-3601,午前7時〜午後11時迄,,"最初30分無料 30分を超え90分まで300円、以降 30分100円
午後11時〜午前7時：1,000円",宿泊時間帯は入出庫不可,
1421,36.57672,136.647841,駐車場・駐輪場,石川県立音楽堂,収容台数：152台,920-0856,金沢市昭和町20-1,076-232-8111,午前9時〜午後10時迄,12/29〜1/3,最初60分400円、以降30分200円,,http://www.ongakudo.jp/
1422,36.579348,136.649811,駐車場・駐輪場,金沢フォーラス駐車場,収容台数：420台,920-0849,金沢市堀川新町3-1,076-265-8111,24時間,,最初60分300円、以降30分100円,,http://www.forus.co.jp/kanazawa/
1423,36.572802,136.654387,駐車場・駐輪場,名鉄スカイパーキング,収容台数：660台,920-0855,金沢市武蔵町466,076-260-2093,午前6時〜午後12時,,最初60分400円、以降30分200円,,http://www.meitetsumza.com/
1424,36.570437,136.656682,駐車場・駐輪場,近江町パーキングビル,収容台数：250台,920-0906,金沢市十間町21,076-263-7918,午前8時00分〜午後6時00分,1/1〜1/2,最初60分200円、以降30分100円,,http://www.city.kanazawa.ishikawa.jp/parking/s/spot/23.html
1425,36.572674,136.654991,駐車場・駐輪場,めいてつエムザ駐車場,収容台数：70台,920-0855,金沢市武蔵町15-1,076-260-2205,午前8時30分〜午後8時30分迄,1月1日,最初60分400円、以降30分200円,,http://www.meitetsumza.com/
1426,36.571631,136.657648,駐車場・駐輪場,近江町市場,収容台数：300台,920-0905,金沢市上近江町50,076-232-2241,午前7時〜午後6時迄,1/1〜1/2,最初60分200円、以降30分100円,,http://ohmicho-ichiba.com/
1427,36.571844,136.656398,駐車場・駐輪場,近江町いちば館,収容台数：94台,920-0907,金沢市青草町88,076-231-3323,午前7時30分〜午後11時30分迄,,最初60分100円、1時間30分まで150円,,http://ohmicho-ichiba.com/
1428,36.564888,136.664091,駐車場・駐輪場,石川県兼六駐車場,収容台数：482台,920-0932,金沢市小将町1-60,076-263-1814,"24時間
（バスは午前7時00分〜午後10時迄）",,"最初60分350円、以降30分150円、22:00?翌8:00：1泊1,030円
（バスは最初60分1,980円、以降30分300円、20:00?翌8:00：1泊2,720円）",バス12台対応（マイクロバス含む）,
